angleX,angleY,angleZ,Time,
8.264786,-3.308792,-3.7924194,22:51:36,
8.264786,-3.509903,-3.739746,22:51:37,
8.336609,-3.399765,-3.782837,22:51:37,
8.413223,-3.3662415,-3.739746,22:51:37,
8.456314,-3.4284973,-3.7684784,22:51:37,
8.312668,-3.4715881,-3.7972107,22:51:38,
7.3310394,-3.4907532,-3.3423004,22:51:38,
6.550537,-7.053314,-2.8921967,22:51:38,
4.2951965,-8.279144,0.0,22:51:38,
-2.8012085,-8.427597,-3.7493134,22:51:39,
-1.1109161,-9.165009,-2.2170258,22:51:39,
-3.265686,-8.700531,-2.4803925,22:51:39,
-2.8155823,-8.700531,-3.5146942,22:51:40,
-2.0733795,-8.939957,-3.423706,22:51:40,
-2.489975,-9.069229,-2.9783936,22:51:40,
-2.5426483,-9.1410675,-2.7341766,22:51:40,
-3.031067,-9.03093,-2.8012085,22:51:41,
-2.604889,-9.227249,-3.1747131,22:51:41,
-2.8443146,-9.375702,-2.762909,22:51:41,
1.4173737,-7.206543,-0.5027771,22:51:42,
2.4325104,-9.777924,1.1587982,22:51:42,
0.33518982,-9.8688965,4.1371765,22:51:42,
1.1970978,-9.126694,0.48841858,22:51:43,
1.7860718,-7.3932953,0.31604004,22:51:43,
1.6903076,-3.9935303,1.2258301,22:51:43,
1.7286072,-8.082825,5.2193604,22:51:44,
2.94487,-7.9391785,4.9033203,22:51:44,
4.0701447,-6.8043213,5.5593414,22:51:45,
6.301544,-4.9033203,5.7221375,22:51:45,
5.612015,-5.6263733,5.4922943,22:51:45,
4.9990997,-6.5409546,4.960785,22:51:45,
5.5880737,-6.64151,4.4723663,22:51:46,
6.095642,-6.3302765,4.3143463,22:51:46,
6.143524,-5.913681,4.7884064,22:51:46,
6.1961975,-5.798752,4.855438,22:51:46,
6.3350525,-4.9464264,5.956772,22:51:47,
6.234497,-3.3949738,6.8330536,22:51:47,
8.030151,-4.242523,6.6271515,22:51:47,
9.830597,-9.639053,9.739609,22:51:47,
2.0350647,-4.529831,9.045288,22:51:48,
1.2641449,-4.7213593,7.1443024,22:51:48,
2.7677002,-5.1092224,7.800308,22:51:48,
2.7054443,-5.1618958,7.546524,22:51:48,
3.6631317,-5.3630066,8.355759,22:51:49,
3.1316223,-5.779602,6.3829346,22:51:49,
-0.5698242,-4.869812,1.7142487,22:51:49,
4.6064453,-6.459549,5.875366,22:51:50,
5.276825,-4.9751587,6.7803802,22:51:50,
6.8522034,-4.7453156,5.87059,22:51:50,
5.4252625,-5.252884,5.9472046,22:51:50,
5.367798,-5.3582306,5.8993073,22:51:51,
5.9950867,-5.1571045,5.9902954,22:51:51,
