angleX,angleY,angleZ,Time
2.403778,-8.825027,-1.2545624,23:01:36
0.1771698,-9.619904,-2.3415222,23:01:36
-3.3040009,-9.102753,-4.5729218,23:01:37
-2.149994,-8.652649,-4.395752,23:01:37
-1.7717133,-8.532928,-4.371811,23:01:37
-1.474823,-8.432373,-4.7740326,23:01:37
-2.2649078,-8.619125,-4.3574524,23:01:38
-1.9871826,-8.53772,-4.458008,23:01:38
-2.087738,-8.561661,-4.438843,23:01:38
-1.9824066,-8.532928,-4.510681,23:01:38
-1.9201508,-8.576035,-4.5202484,23:01:39
-1.8770599,-8.489838,-4.400543,23:01:39
-1.7477722,-8.623917,-4.3622284,23:01:39
-1.9728241,-8.65744,-4.304779,23:01:39
-2.3750458,-9.198517,-4.285614,23:01:40
-0.4118042,-9.217682,-2.0111237,23:01:40
1.5179291,-8.786728,0.41659546,23:01:40
2.0063477,-9.208099,1.1492157,23:01:41
2.3989868,-9.394852,1.3503265,23:01:41
2.5234833,-9.485825,1.7525482,23:01:41
2.0973206,-9.433151,1.2210388,23:01:41
2.2026672,-9.433151,1.4269409,23:01:42
2.3941956,-9.519348,1.6807251,23:01:42
2.149994,-9.653427,1.2832947,23:01:42
2.0015564,-9.5720215,1.0965424,23:01:42
1.6041107,-7.7189026,0.65122986,23:01:43
1.2976532,-6.756439,0.21548462,23:01:43
2.4995422,-9.476257,4.050995,23:01:44
4.050995,-6.5648956,6.114792,23:01:44
4.7884064,-5.578491,6.569687,23:01:44
5.046982,-4.9559937,6.9623413,23:01:44
5.2480927,-4.3191376,7.1011963,23:01:45
5.5449677,-4.165909,6.9192505,23:01:45
5.501877,-4.807556,6.550537,23:01:45
5.817917,-5.118805,5.9998627,23:01:45
5.7604523,-5.23851,5.875366,23:01:46
5.7843933,-5.252884,5.8610077,23:01:46
5.822693,-5.2241516,5.8610077,23:01:46
5.8945312,-5.099655,5.9424133,23:01:46
5.875366,-5.209778,5.841858,23:01:47
5.851425,-5.3103333,5.7652435,23:01:47
5.851425,-5.3390656,5.7508698,23:01:47
5.827484,-5.23851,5.779602,23:01:47
5.487503,-4.989517,6.344635,23:01:48
5.477936,-4.5633545,6.6702423,23:01:48
5.530609,-4.352661,6.9767,23:01:48
6.095642,-6.4451904,5.612015,23:01:48
3.3040009,-6.914459,5.7269287,23:01:49
3.3901825,-5.8370667,6.430832,23:01:49
4.4771576,-4.6303864,7.4651184,23:01:49
5.372589,-3.7253723,7.1251373,23:01:49
5.525818,-4.458008,6.6989746,23:01:50
5.664688,-4.261673,6.7660217,23:01:50
5.5210266,-4.2712555,6.7803802,23:01:50
5.6551056,-4.2281647,6.732498,23:01:50
5.4108887,-3.8019867,6.9431915,23:01:51
5.094864,-3.9839478,7.7667847,23:01:51
4.5202484,-3.7780457,6.885727,23:01:51
3.691864,-6.1291504,7.0628967,23:01:51
5.6263733,-3.3662415,7.905655,23:01:52
6.052536,-3.6296082,6.79953,23:01:52
5.9472046,-3.7636871,6.751648,23:01:52
5.8849487,-4.1180267,6.6463013,23:01:52
5.9759216,-4.577713,6.258438,23:01:53
5.956772,-4.9799347,5.851425,23:01:53
5.961563,-5.1140137,5.798752,23:01:53
6.0812683,-5.0134583,5.7843933,23:01:53
6.2201385,-5.0613403,5.5832825,23:01:54
6.277603,-5.0373993,5.5114594,23:01:54
6.2440796,-4.984726,5.616791,23:01:54
6.1722565,-5.032608,5.616791,23:01:54
6.3111115,-5.0661316,5.4922943,23:01:55
6.3398438,-5.1379547,5.420471,23:01:55
6.3302765,-5.0661316,5.549759,23:01:55
6.2919617,-5.0421906,5.5210266,23:01:55
6.258438,-5.0661316,5.5114594,23:01:56
5.645523,-4.8985443,6.1578827,23:01:56
5.070923,-4.8841705,6.79953,23:01:56
4.9464264,-5.4731445,6.636734,23:01:56
4.050995,-7.316681,5.7173615,23:01:57
1.0343018,-8.901642,2.9592285,23:01:57
1.5466614,-7.45076,4.050995,23:01:57
3.0023346,-6.2632294,4.7405243,23:01:57
4.7740326,-6.1530914,5.8083344,23:01:58
6.885727,-4.1754913,7.9200134,23:01:58
6.751648,-8.039734,3.2465363,23:01:58
3.0741577,-8.576035,-0.9433136,23:01:59
4.6591187,-7.776367,-0.3543396,23:01:59
6.665451,-7.426819,0.04788208,23:01:59
8.087616,-5.851425,-1.470047,23:01:59
8.576035,-4.3909607,-2.0494385,23:02:00
8.384491,-4.4484253,-1.7812805,23:02:00
9.514557,-3.7684784,-2.8203735,23:02:00
9.026138,-4.66391,-2.604889,23:02:00
8.303085,-4.266464,-2.3606873,23:02:01
8.489838,-4.462799,-2.3846283,23:02:01
8.623917,-4.218582,-2.3846283,23:02:01
8.298309,-4.098877,-2.47081,23:02:01
8.523361,-4.299988,-2.3367462,23:02:02
8.427597,-4.323929,-2.4516602,23:02:02
8.504211,-4.3095703,-2.4612427,23:02:02
8.451538,-4.237732,-2.3941956,23:02:02
8.532928,-4.232956,-2.2792816,23:02:03
8.604767,-4.108444,-2.4373016,23:02:03
8.53772,-4.232956,-2.4133606,23:02:03
8.566452,-4.18985,-2.3846283,23:02:03
8.48027,-4.0892944,-2.427719,23:02:04
8.528152,-4.2233734,-2.2649078,23:02:04
8.475479,-4.1994324,-2.3750458,23:02:04
8.590393,-4.079727,-2.3941956,23:02:04
8.547302,-4.0940857,-2.5091248,23:02:05
8.571243,-4.1276093,-2.4085693,23:02:05
8.48027,-4.1323853,-2.4612427,23:02:05
8.542511,-4.237732,-2.446869,23:02:05
8.470688,-4.2042236,-2.466034,23:02:06
8.609543,-4.098877,-2.5234833,23:02:06
8.494629,-4.1802826,-2.4612427,23:02:06
8.571243,-4.165909,-2.4612427,23:02:06
8.49942,-4.060562,-2.489975,23:02:07
8.595184,-4.146759,-2.5043335,23:02:07
8.508987,-4.1515503,-2.4612427,23:02:07
8.470688,-4.141968,-2.4851837,23:02:07
8.542511,-4.232956,-2.4851837,23:02:08
8.547302,-4.232956,-2.5091248,23:02:08
8.547302,-4.1707,-2.466034,23:02:08
8.523361,-4.1276093,-2.513916,23:02:08
8.49942,-4.18985,-2.5282745,23:02:09
8.585602,-4.0940857,-2.5091248,23:02:09
8.456314,-4.1132355,-2.5187073,23:02:09
8.614334,-4.2233734,-2.466034,23:02:09
8.456314,-4.2281647,-2.403778,23:02:10
8.585602,-4.1707,-2.446869,23:02:10
8.595184,-4.1850586,-2.427719,23:02:10
8.504211,-4.237732,-2.5091248,23:02:10
8.456314,-4.2233734,-2.4756012,23:02:11
8.547302,-4.2904053,-2.513916,23:02:11
8.8489685,-4.1802826,-2.3223724,23:02:11
8.504211,-4.1754913,-2.3989868,23:02:11
8.403656,-4.1802826,-2.537857,23:02:12
8.532928,-4.213791,-2.489975,23:02:12
8.475479,-4.1611176,-2.5570068,23:02:12
8.561661,-4.2089996,-2.3989868,23:02:12
8.576035,-4.2233734,-2.427719,23:02:13
8.542511,-4.1850586,-2.3606873,23:02:13
8.5520935,-4.141968,-2.3032227,23:02:13
8.566452,-4.1707,-2.308014,23:02:13
8.614334,-4.2042236,-2.4373016,23:02:14
8.609543,-4.1850586,-2.446869,23:02:14
8.595184,-4.1563416,-2.442093,23:02:14
8.5520935,-4.1850586,-2.4516602,23:02:14
8.470688,-4.2473145,-2.4516602,23:02:15
8.470688,-4.3430786,-2.446869,23:02:15
8.542511,-4.2281647,-2.3941956,23:02:15
8.513779,-4.2281647,-2.4612427,23:02:15
8.489838,-4.285614,-2.3846283,23:02:16
8.485046,-4.256897,-2.4085693,23:02:16
8.561661,-4.232956,-2.3750458,23:02:16
8.561661,-4.2233734,-2.3511047,23:02:16
8.532928,-4.1994324,-2.4085693,23:02:17
8.432373,-4.261673,-2.3415222,23:02:17
8.547302,-4.2712555,-2.2553406,23:02:17
8.556885,-4.3430786,-2.2744904,23:02:17
8.561661,-4.280838,-2.197876,23:02:18
8.494629,-4.18985,-2.0207062,23:02:18
8.236053,-4.510681,-2.1835175,23:02:18
6.8569946,-6.732498,-1.3263855,23:02:18
4.6351776,-8.461105,-0.8714905,23:02:19
2.059021,-9.2799225,-1.498764,23:02:19
-2.762909,-9.471466,-3.5146942,23:02:19
-0.3256073,-8.667007,-4.395752,23:02:20
-0.9720459,-8.777145,-4.458008,23:02:20
-0.64164734,-8.623917,-4.625595,23:02:20
-0.9864044,-8.705322,-4.5633545,23:02:20
-0.7852936,-8.738831,-4.5202484,23:02:21
-0.6655884,-8.963898,-4.242523,23:02:21
-0.7948761,-8.619125,-4.5441895,23:02:21
-0.8571167,-8.762772,-4.481949,23:02:21
-0.7661438,-8.705322,-4.458008,23:02:22
-0.74220276,-8.767563,-4.419693,23:02:22
-1.0390778,-8.667007,-4.2951965,23:02:22
-0.8954315,-8.801086,-4.3861847,23:02:22
